pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,fonte_dados,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,fonte_id,time_idx
Afghanistan,AFG,2019,-0.8700417586674436,-1.3556431083276086,-0.22291506825835797,-0.7763731705168406,-0.6317512508625994,-0.0535240083188818,0.11506789392452409,-1.08503819499742,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-1.529961775194336,-1.6993006093933776,-1.3221443515346658,0.12933429191213489,ambos,17.449303268493857,3.671151977297914,0,0,17
Afghanistan,AFG,2020,-0.8935596123074969,-1.3556431083276086,-0.22291506825835797,-0.7763731705168406,-0.6421625643506811,-0.04628761513824967,0.09780500678905332,-1.1775235106307718,-1.212208893524284,-1.232987325051966,-1.5430217493697154,-1.529961775194336,-1.6993006093933776,-1.3221443515346658,0.12933429191213489,ambos,17.480839359703,3.669636673452606,0,0,18
Afghanistan,AFG,2021,-0.9869267395693457,-1.1701772311557905,-0.22291506825835797,-0.6397286272752523,-0.6282568499905926,-0.0407303154301093,0.2509466316188278,-1.067006096675224,-0.5866753058539755,-1.232987325051966,-1.268571375299001,-1.529961775194336,-1.6993006093933776,-1.7634419765500802,0.12933429191213489,ambos,17.504400337024908,3.6716600520252527,0,0,19
Afghanistan,AFG,2022,-1.0111755366614041,-0.7241885036466726,-0.22291506825835797,-0.015657509186275363,-0.6352097071706369,-0.03727917200897258,0.17269446603649774,-0.9183695047700163,-0.5866753058539755,-1.232987325051966,-1.5430217493697154,-0.6758671640231085,-1.285094093117663,-1.7634419765500802,0.12933429191213489,ambos,17.51875738037342,3.670648874496448,0,0,20
Afghanistan,AFG,2023,-1.0108617175255619,-0.8967923099785607,-0.14134204352079868,-0.16970971087750036,-0.6352097071706369,-0.03205309090270448,0.19612103949475504,-1.1359266719142633,-0.5866753058539755,-1.232987325051966,-1.268571375299001,-0.6758671640231085,-1.285094093117663,-1.7739075370111412,0.12933429191213489,ambos,17.54011331835086,3.670648874496448,0,0,21
Angola,AGO,2019,0.13312269986714467,0.23543987227848895,-0.32926998508424804,-0.3693613131689131,-1.541789834179994,-0.08622278527886341,-1.4629683823588844,1.2713644027184579,-0.5866753058539755,-0.025349315557772752,0.6525812431959995,-0.6758671640231085,-0.7328187380833772,-0.7343288800643919,-0.48836934717299396,ambos,17.292916629916387,3.52918473373803,1,0,20
Angola,AGO,2020,0.030478270792464544,-0.37490353446069663,-0.32926998508424804,-0.5545038313967706,-1.2084540017772314,-0.07980592455339526,-1.5559544509346355,0.8099676963544155,-0.5866753058539755,-0.025349315557772752,0.6525812431959995,-0.6758671640231085,-0.7328187380833772,-0.7447944405254533,-0.36958018581046875,ambos,17.325596215414812,3.583552744175354,1,0,21
Angola,AGO,2021,0.015842002099704818,-0.8100856342633995,-0.3756170963545843,-0.34578068222135583,-1.6113489818338373,-0.07335447662046496,-1.6238780945094935,0.9323049024655317,-0.5866753058539755,-0.025349315557772752,0.6525812431959995,-0.6758671640231085,-0.7328187380833772,-0.7953776339019013,-0.5834006762630131,ambos,17.357409440478254,3.5174568614563446,1,0,22
Angola,AGO,2022,0.028956473591011098,-1.0308324365823751,-0.3756170963545843,-0.5280415463886766,-1.5334782994304832,-0.06677592651734904,-1.4471866960367445,0.6613494049298053,-0.5866753058539755,-0.025349315557772752,0.6525812431959995,-0.4623435112303015,-0.7328187380833772,-0.6924666382201469,-0.13200186308542003,ambos,17.388839700786704,3.530576927452759,1,0,23
Angola,AGO,2023,0.004793484119809402,-1.2544805525840543,-0.4353299525286207,-0.592596759143342,-0.9996097684431808,-0.060124126949680265,-1.4418504703755166,0.6777353502038808,-0.5866753058539755,-0.025349315557772752,0.10368049505457075,-0.4623435112303015,-1.0089564156005206,-0.6540925676775725,0.12933429191213544,ambos,17.419646253007674,3.616168679744884,1,0,24
Albania,ALB,2018,1.1067648794473657,0.3964393270216723,1.2765347824150375,0.0659663966098564,0.7167033140462339,-0.2638299093818877,0.3338944059917328,-0.2739311616962418,0.038858281816333155,-0.025349315557772752,0.6525812431959995,0.8187978076605511,0.23366313322662344,1.4041341485718268,0.2481234532746595,ambos,14.773992202961923,3.8502272729073574,2,0,22
Albania,ALB,2019,1.194860449517925,0.23717792892045297,1.283505618556859,0.056900508914463806,0.6948531071166414,-0.2640681595748114,0.3767124210149427,-0.33985955005582036,0.038858281816333155,-0.025349315557772752,0.3781308691252851,1.032321460453358,0.23366313322662344,1.3884358078802348,0.41442827918219427,ambos,14.758560838015677,3.847566995754063,2,0,23
Albania,ALB,2020,1.1495731385366004,0.30897928974401,1.1719196293720038,-0.40406502098927044,0.5745473753681573,-0.2643027642987409,0.42361079818864705,-0.29776308542842583,-0.5866753058539755,-0.025349315557772752,0.3781308691252851,1.032321460453358,0.3717319719851945,1.4215765749142548,0.41442827918219427,ambos,14.743129285137378,3.8327915721297092,2,0,24
Albania,ALB,2021,1.411542821346799,0.5533655767759889,1.234682260214961,0.06295341029550768,0.5289251609779846,-0.2645337712848577,0.5411745284850471,-0.3843138835025201,-0.5866753058539755,-0.025349315557772752,0.10368049505457075,0.8187978076605511,0.5098008107437664,1.4268093551447854,0.010545130549610794,ambos,14.727698083188026,3.8271308608533707,2,0,25
Albania,ALB,2022,1.5870770264447551,0.36921183925235457,1.2222944731133611,0.32764001195691383,0.6726534051426252,-0.26476124616353663,0.6060907680648141,-0.3348792770929553,-0.5866753058539755,-0.025349315557772752,0.10368049505457075,0.8187978076605511,0.5098008107437664,1.4791371574500924,0.10557645963962983,ambos,14.712266522664523,3.844856900027123,2,0,26
Albania,ALB,2023,1.7500969601106913,0.19861847622480416,1.1794207471909435,0.25947353369668535,0.5538510833015701,-0.2649852306995616,0.525072648759083,-0.32353021281510264,-0.5866753058539755,-0.025349315557772752,0.3781308691252851,0.8187978076605511,0.5098008107437664,1.456461950877134,0.15309212418463936,ambos,14.696835447868771,3.8302275887670207,2,0,27
Argentina,ARG,2018,2.7779366550743605,-0.8958870789710108,1.6688534443674847,-1.2398359756173754,-0.2628996320996262,-0.012959896331206696,0.4085281841060694,-0.2767752336925168,0.6643918694866419,1.1822886939364206,0.3781308691252851,0.8187978076605511,0.9240073270194807,1.585537370989565,0.4144282791821931,ambos,17.614474221009356,3.7234061099708025,3,0,22
Argentina,ARG,2019,2.6678456105922717,-1.0233208644219216,1.6973821796632533,-1.1855457826450504,-0.39369708978778567,-0.011059103453008815,0.38560419962901643,-0.32376982975790924,0.6643918694866419,1.1822886939364206,0.10368049505457075,0.1782268492821305,0.5098008107437664,1.585537370989565,0.6757644341797486,ambos,17.621583229381496,3.7051872588273236,3,0,23
Argentina,ARG,2020,2.257004065169088,-1.01321108151806,1.766689978139677,-1.2560769242637806,-0.4319880063926335,-0.009755445555737973,0.42762779476971785,-0.3864274989929909,0.6643918694866419,1.1822886939364206,0.10368049505457075,-0.03529680351067694,0.5098008107437664,1.5733272015996451,0.6995222664522537,ambos,17.626429885641404,3.6997902759540895,3,0,24
Argentina,ARG,2021,2.6186963507147745,-0.6488234264893032,1.8881605787916889,-1.1725238220848277,-0.4141036262434196,-0.009037592450163424,0.3679052319243933,-0.2951907594364085,0.6643918694866419,1.1822886939364206,0.10368049505457075,-0.03529680351067694,0.647869649502338,1.54890790937585,0.5332174405447189,ambos,17.629088679533112,3.7023146479937257,3,0,25
Argentina,ARG,2022,2.846286201350533,-0.6091933879104597,1.8307472025433664,-1.2160735915392078,-0.23386643582175307,-0.00846706760297473,0.4534648446247259,-0.24395848513050247,0.6643918694866419,1.1822886939364206,0.10368049505457075,-0.03529680351067694,0.647869649502338,1.5558847752572171,0.4144282791821931,ambos,17.631196766797363,3.727405535499293,3,0,26
Argentina,ARG,2023,2.7575296232247752,-0.5031718693845775,1.520709208160947,-1.3585714099043629,0.013450467098847639,-0.00768847060242483,0.49305439526384254,-0.15525166928932554,0.6643918694866419,1.1822886939364206,-0.1707698790161436,0.6052741548677444,0.647869649502338,1.5157666190638073,0.4144282791821931,ambos,17.634066527953458,3.7608410287340126,3,0,27
Armenia,ARM,2018,0.9375083405568838,-0.7154136298588016,0.7052640066452721,0.5535992317109756,-0.27873194304982046,-0.2616744467842981,0.15505076134406154,-0.19002446449451077,0.038858281816333155,-0.025349315557772752,-0.1707698790161436,0.6052741548677444,0.5098008107437664,0.3244373354316676,-0.7259476698980427,ambos,14.903736090559581,3.7212183946986177,4,0,21
