pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,time_idx
Afghanistan,AFG,2019,-0.8621753729746755,-1.3509641808188424,-0.21823601531513412,-0.7892580044224707,-0.6197820407123463,-0.047270867607926356,0.11948881303744337,-1.0627385637243085,-1.2108524167650978,-1.240646298699596,-1.5375777041551464,-1.535287603688097,-1.6912894100925329,-1.32692622019362,0.12955447154404823,17.449303268493857,3.671151977297914,0,18
Afghanistan,AFG,2020,-0.8858085336323058,-1.3509641808188424,-0.21823601531513412,-0.7892580044224707,-0.6298421890610278,-0.0399364270466958,0.10210876397932252,-1.1546997415800806,-1.2108524167650978,-1.240646298699596,-1.5375777041551464,-1.535287603688097,-1.6912894100925329,-1.32692622019362,0.12955447154404823,17.480839359703,3.669636673452606,0,19
Afghanistan,AFG,2021,-0.9796334358743491,-1.1651841282670556,-0.21823601531513412,-0.6529173695021594,-0.6164055031407525,-0.0343038303410067,0.25628974955229195,-1.0448086578839673,-0.6042661977638185,-1.240646298699596,-1.2683750918083427,-1.535287603688097,-1.6912894100925329,-1.7686400000320475,0.12955447154404823,17.504400337024908,3.6716600520252527,0,20
Afghanistan,AFG,2022,-1.0040011237680644,-0.7184399050297553,-0.21823601531513412,-0.030234235165453673,-0.6231238461008901,-0.030805926667342852,0.17750649238028685,-0.8970144273029841,-0.6042661977638185,-1.240646298699596,-1.5375777041551464,-0.6830826831697902,-1.2846976258489626,-1.7686400000320475,0.12955447154404823,17.51875738037342,3.670648874496448,0,21
Afghanistan,AFG,2023,-1.0036857659905942,-0.8913360986582464,-0.13651640703335882,-0.18394381251988226,-0.6231238461008901,-0.025509036312534202,0.20109206023883963,-1.113338642715352,-0.6042661977638185,-1.240646298699596,-1.2683750918083427,-0.6830826831697902,-1.2846976258489626,-1.77911542978135,0.12955447154404823,17.54011331835086,3.670648874496448,0,22
Angola,AGO,2018,0.19884588036650924,0.19048827776704266,-0.32478204777886277,-0.43529869180556735,-1.8602588736225258,-0.08693449374563757,-1.4688443128867759,1.1941354527598818,-0.6042661977638185,-0.051478348695809785,0.6160431946192833,-0.6830826831697902,-0.7425752468575356,-0.7560152988566329,-0.9506217708715952,17.259037788762317,3.4644910993811173,1,20
Angola,AGO,2019,0.14590755744188155,0.2428140616198701,-0.32478204777886277,-0.38315137378445824,-1.4991257624893553,-0.08041268702699925,-1.4692574773177738,1.280309701877419,-0.6042661977638185,-0.051478348695809785,0.6160431946192833,-0.6830826831697902,-0.7425752468575356,-0.7385564238649578,-0.4945473574072131,17.292916629916387,3.52918473373803,1,21
Angola,AGO,2020,0.04275986717812181,-0.3685632542925163,-0.32478204777886277,-0.5678821203412573,-1.177033076706546,-0.0739088829348438,-1.5628746353798035,0.8215278478561524,-0.6042661977638185,-0.051478348695809785,0.6160431946192833,-0.6830826831697902,-0.7425752468575356,-0.7490318536142603,-0.37452777491658545,17.325596215414812,3.583552744175354,1,22
Angola,AGO,2021,0.028051837494021303,-0.8044825436184135,-0.37121244300067735,-0.35962318803373006,-1.5663387366454566,-0.06737002300603356,-1.6312592716386882,0.9431717379431271,-0.6042661977638185,-0.051478348695809785,0.6160431946192833,-0.6830826831697902,-0.7425752468575356,-0.7996627482215641,-0.590563023399714,17.357409440478254,3.5174568614563446,1,23
Angola,AGO,2022,0.041230608670915624,-1.025603286478652,-0.37121244300067735,-0.5414786895575852,-1.4910945690495438,-0.0607023387735737,-1.4533686818720182,0.6737518140422942,-0.6042661977638185,-0.051478348695809785,0.6160431946192833,-0.4700314530402132,-0.7425752468575356,-0.6966547048677482,-0.13448860993533196,17.388839700786704,3.530576927452759,1,24
