pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,country_id,time_idx
Afghanistan,AFG,2019,-0.8682066990454874,-1.3577668152990403,-0.22015566515988655,-0.7748316438777387,-0.6338436598166398,-0.054533556227547325,0.11719440805206495,-1.085128960596268,-1.2105808136489213,-1.2310617606611092,-1.5458625860765898,-1.5289995066023851,-1.700128174423057,-1.3217373565644992,0.1298794011268022,17.449303268493857,3.671151977297914,0,17
Afghanistan,AFG,2020,-0.8917037591047926,-1.3577668152990403,-0.22015566515988655,-0.7748316438777387,-0.6444100439954227,-0.04731135921273437,0.09993800695050303,-1.1774875435829992,-1.2105808136489213,-1.2310617606611092,-1.5458625860765898,-1.5289995066023851,-1.700128174423057,-1.3217373565644992,0.1298794011268022,17.480839359703,3.669636673452606,0,18
Afghanistan,AFG,2021,-0.9849883347473628,-1.172112526020087,-0.22015566515988655,-0.6380002229533754,-0.6302972117982831,-0.04176496166900025,0.25302209321423647,-1.0671215716620308,-0.5847396624171465,-1.2310617606611092,-1.2707653623175506,-1.5289995066023851,-1.700128174423057,-1.7635507527409013,0.1298794011268022,17.504400337024908,3.6716600520252527,0,19
Afghanistan,AFG,2022,-1.0092156919866142,-0.7256707250012223,-0.22015566515988655,-0.0130756133039708,-0.6373536278968529,-0.038320588610259436,0.1747993286350773,-0.9186886565086168,-0.5847396624171465,-1.2310617606611092,-1.5458625860765898,-0.6759219197233678,-1.2850453955820114,-1.7635507527409013,0.1298794011268022,17.51875738037342,3.670648874496448,0,20
Afghanistan,AFG,2023,-1.0089021503175697,-0.8984498770481629,-0.13862057219535973,-0.16733849972358286,-0.6373536278968529,-0.033104759892455746,0.19821710023136177,-1.1359477050229532,-0.5847396624171465,-1.2310617606611092,-1.2707653623175506,-0.6759219197233678,-1.2850453955820114,-1.7740285449339355,0.1298794011268022,17.54011331835086,3.670648874496448,0,21
Angola,AGO,2019,0.1340708000968248,0.23493252353733782,-0.32646112653676135,-0.3672631493530993,-1.5574367587906113,-0.08716818558689132,-1.4602489664347287,1.2680446581658502,-0.5847396624171465,-0.023929691893144107,0.6549152039957229,-0.6759219197233678,-0.731601690460617,-0.7332348696856199,-0.4865863438644545,17.292916629916387,3.52918473373803,1,20
Angola,AGO,2020,0.03151712527450884,-0.3760309222575132,-0.32646112653676135,-0.5526588720190466,-1.2191360756199496,-0.08076391329002612,-1.5532000981665381,0.8072802038013718,-0.5847396624171465,-0.023929691893144107,0.6549152039957229,-0.6759219197233678,-0.731601690460617,-0.743712661878654,-0.36803523905844315,17.325596215414812,3.583552744175354,1,21
Angola,AGO,2021,0.01689379740702903,-0.8116551172728863,-0.37278668622051525,-0.34365026908504004,-1.6280319510399435,-0.07432512163797271,-1.6210982213836496,0.9294497712143395,-0.5847396624171465,-0.023929691893144107,0.6549152039957229,-0.6759219197233678,-0.731601690460617,-0.7943549748852458,-0.5814272277092624,17.357409440478254,3.5174568614563446,1,22
Angola,AGO,2022,0.02999667358755153,-1.0326261730815198,-0.37278668622051525,-0.5261603966854123,-1.5490014283801716,-0.06775947716142824,-1.4444732096278445,0.6588655640514028,-0.5847396624171465,-0.023929691893144107,0.6549152039957229,-0.4626525230036132,-0.731601690460617,-0.6913237009134839,-0.13093302944642216,17.388839700786704,3.530576927452759,1,23
Angola,AGO,2023,0.0058550481013620774,-1.2565014899755425,-0.43247177568472567,-0.5908038963799322,-1.0071812242501303,-0.061120726919203984,-1.4391389889001083,0.6752290556613724,-0.5847396624171465,-0.023929691893144107,0.1047207564776448,-0.4626525230036132,-1.0083235430213147,-0.6529047802792853,0.1298794011268028,17.419646253007674,3.616168679744884,1,24
Albania,ALB,2018,1.1068521227472097,0.3960955353023213,1.2785969355145992,0.06865992290207239,0.734695381560885,-0.2644268847050516,0.33593870234386414,-0.2751333874260177,0.041101488814628474,-0.023929691893144107,0.6549152039957229,0.8169632601608406,0.236924793501823,1.407727509720887,0.248430505932813,14.773992202961923,3.8502272729073574,2,22
Albania,ALB,2019,1.1948698021064033,0.2366723458459529,1.2855645301905656,0.05958163652580589,0.7125197280212741,-0.26466466750501294,0.37874062972801503,-0.3409714341017622,0.041101488814628474,-0.023929691893144107,0.3798179802366839,1.0302326568805948,0.236924793501823,1.3920108214313358,0.4144020526612283,14.758560838015677,3.847566995754063,2,23
Albania,ALB,2020,1.1496225324218812,0.30854664863540804,1.1740304289236707,-0.4020143186259766,0.5904221096929744,-0.26489881198756526,0.4256213861838041,-0.29893265426831644,-0.5847396624171465,-0.023929691893144107,0.3798179802366839,1.0302326568805948,0.37528571978217107,1.425190322079407,0.4144020526612283,14.743129285137378,3.8327915721297092,2,24
Albania,ALB,2021,1.4113605917244054,0.5531812041682928,1.2367638748997467,0.06564281597019075,0.5441203779388399,-0.2651293657902524,0.5431409452859438,-0.38536485176639573,-0.5847396624171465,-0.023929691893144107,0.1047207564776448,0.8169632601608406,0.5136466460625201,1.4304292181759242,0.011328296320792016,14.727698083188026,3.8271308608533707,2,25
Albania,ALB,2022,1.5867395962363033,0.36884038752124915,1.2243818481672177,0.33069140807487857,0.6899893739040474,-0.2653563944146971,0.6080327944536178,-0.3359979856079402,-0.5847396624171465,-0.023929691893144107,0.1047207564776448,0.8169632601608406,0.5136466460625201,1.4828181791410948,0.10616918016559995,14.712266522664523,3.844856900027123,2,26
Albania,ALB,2023,1.7496153939531804,0.19807372115897529,1.181528058693718,0.2624317040392331,0.5694175579327958,-0.26557993954375025,0.5270451153787082,-0.32466447295515094,-0.5847396624171465,-0.023929691893144107,0.3798179802366839,0.8169632601608406,0.5136466460625201,1.4601164706860577,0.15358962208800392,14.696835447868771,3.8302275887670207,2,27
Argentina,ARG,2018,2.776546312630523,-0.8975437264295009,1.6707331677669162,-1.238928289547497,-0.2594982025141496,-0.014049021847902915,0.410544438960171,-0.27797356218986385,0.6669426400464034,1.183202376874821,0.3798179802366839,0.8169632601608406,0.9287294249035656,1.5893427490300145,0.41440205266122715,17.614474221009356,3.7234061099708025,3,22
Argentina,ARG,2019,2.6665526064114458,-1.0251069700233495,1.6992486370900715,-1.1845638482720977,-0.39224381517131257,-0.012151957895181198,0.38762906751171966,-0.32490376155081263,0.6669426400464034,1.183202376874821,0.1047207564776448,0.1771550700015777,0.5136466460625201,1.5893427490300145,0.6752144832344521,17.621583229381496,3.7051872588273236,3,23
Argentina,ARG,2020,2.256074311265273,-1.0149869167369863,1.7685242071712672,-1.2551914496249417,-0.4311050535604666,-0.010850857479686036,0.42963687349381074,-0.38747557096913465,0.6669426400464034,1.183202376874821,0.1047207564776448,-0.03611432671817715,0.5136466460625201,1.577118308878402,0.6989247041956543,17.626429885641404,3.6997902759540895,3,24
Argentina,ARG,2021,2.617446802417279,-0.6502290855499789,1.889938323522631,-1.1715240786303198,-0.41295429557279123,-0.010134412639453926,0.3699367496857514,-0.29636385313512353,0.6669426400464034,1.183202376874821,0.1047207564776448,-0.03611432671817715,0.6520075723428688,1.552670476354395,0.532953157467239,17.629088679533112,3.7023146479937257,3,25
Argentina,ARG,2022,2.844835426869343,-0.6105587873870634,1.8325516447170465,-1.2151334075797806,-0.2300325730178141,-0.009565007032905214,0.4554642158195887,-0.24520178242500684,0.6669426400464034,1.183202376874821,0.1047207564776448,-0.03611432671817715,0.6520075723428688,1.5596554965198817,0.41440205266122715,17.631196766797363,3.727405535499293,3,26
Argentina,ARG,2023,2.7561573238928254,-0.5044295631310936,1.5226578192050617,-1.3578261086783754,0.02096797683185778,-0.008787937463473304,0.4950388918223906,-0.15661652155142494,0.6669426400464034,1.183202376874821,-0.17037646728139427,0.6036938634410864,0.6520075723428688,1.5194904518167143,0.41440205266122715,17.634066527953458,3.7608410287340126,3,27
Armenia,ARM,2018,0.9377452339720164,-0.716886936945749,0.7075918028722806,0.5569596539663003,-0.27556632687993765,-0.2622756506372956,0.15716225305780676,-0.1913416675883442,0.041101488814628474,-0.023929691893144107,-0.17037646728139427,0.6036938634410864,0.5136466460625201,0.32676878976940427,-0.7236885534764754,14.903736090559581,3.7212183946986177,4,21
Armenia,ARM,2019,1.113469129984101,-0.8290879630808166,0.8449849099725629,0.7133496886260808,-0.5251912154549784,-0.26231435614164667,0.1772118016811442,-0.17337555253757866,0.041101488814628474,-0.023929691893144107,-0.17037646728139427,0.6036938634410864,0.5136466460625201,0.45774119218233017,-0.7236885534764754,14.90154440197821,3.686601839582973,4,22
Armenia,ARM,2020,0.9401150424779604,-0.5916267334628899,0.9057802731521387,-0.09351622788278528,-0.573659433271118,-0.26232031083462376,0.08818108272525359,-0.019180084988735618,0.6669426400464034,-0.023929691893144107,-0.17037646728139427,0.6036938634410864,0.5136466460625201,0.4245611676446494,-0.4865863438644545,14.901206792365823,3.679739362571593,4,23
Armenia,ARM,2021,1.0696758600853988,-0.17571118373823152,1.013397570652802,0.17211175531915593,-0.18711450046251643,-0.26231554708024213,0.13186329595490293,-0.05702162750516964,0.6669426400464034,-0.023929691893144107,-0.7205709147994724,0.6036938634410864,0.5136466460625201,0.44900952405826566,-0.43916590194204935,14.901476889173537,3.7332024185705035,4,24
Armenia,ARM,2022,1.3626405641950976,-0.19206016040277818,1.0215406781636278,0.8888807404304627,0.23193455110972166,-0.26227445969870017,0.4679635835169486,-0.13448696569165441,0.6669426400464034,-0.023929691893144107,-0.4454736910404334,0.6036938634410864,0.5136466460625201,0.47345788047188136,-0.43916590194204935,14.903803451016527,3.78810398772789,4,25
Armenia,ARM,2023,1.5888092361613975,-0.25213732172904213,0.9384222116267945,1.457533191191579,-0.22983143740832832,-0.26230363769428794,0.3679303955644857,-0.34810814494232717,0.6669426400464034,-0.023929691893144107,-0.9956681385585116,0.8169632601608406,0.5136466460625201,0.43678560779626197,-0.43916590194204935,14.902151812198879,3.7274327811237047,4,26
Azerbaijan,AZE,2018,1.645344937564014,-0.2375361194038931,1.6279926476119588,0.5336627856955415,-0.12712202540796524,-0.22076684951866113,-0.4073208154904982,2.1056372656394204,-0.5847396624171465,-0.023929691893144107,-0.4454736910404334,-0.03611432671817715,-0.3165189116195712,-0.9200884812016551,-0.7236885534764754,16.11205464074393,3.741249610209653,5,22
Azerbaijan,AZE,2019,1.6930134557631435,-0.18473153336603138,1.6054082526257252,0.363288373367217,-0.10157627925181728,-0.22026360650578092,-0.35187498012105944,1.819279262813658,-0.5847396624171465,-0.023929691893144107,-0.4454736910404334,-0.03611432671817715,-0.3165189116195712,-0.9026256688431349,-0.7236885534764754,16.12052110715989,3.7446566708167865,5,23
Azerbaijan,AZE,2020,1.5475513907618104,0.0016323727317447147,1.0090651818563072,-0.03832438142559431,-0.4450034366386704,-0.21985369735062368,-0.3596587668848339,1.2455894292582024,-0.5847396624171465,-0.023929691893144107,-0.7205709147994724,-0.03611432671817715,-0.3165189116195712,-0.9148495851051386,-0.7236885534764754,16.127364759733396,3.69785299880816,5,24
Azerbaijan,AZE,2021,1.694487444087043,-0.779187271033518,1.01069618040328,0.08591109355520753,-1.2090669681479254,-0.21958794535774892,-0.32873933274772604,1.8188537832863134,-0.5847396624171465,-0.023929691893144107,-0.7205709147994724,-0.03611432671817715,-0.3165189116195712,-0.9148495851051386,-0.7236885534764754,16.131776736655397,3.585126500121907,5,25
Azerbaijan,AZE,2022,1.8346513924477663,-1.2903479263039672,0.9941560300855508,0.39716657489280427,-1.6642055800052111,-0.2195640908576827,-0.3100485643470535,2.4311088210755836,-0.5847396624171465,-0.023929691893144107,-0.9956681385585116,-0.03611432671817715,-0.1781579853392228,-0.8816700844570666,-0.7236885534764754,16.132171815278813,3.511393669940984,5,26
Azerbaijan,AZE,2023,1.8733501754217916,-0.6368927830337051,1.0587572987037432,0.2968705477477325,-0.5939613168126928,-0.21949143169397617,-0.3149143381273302,1.570116920716212,-1.2105808136489213,-0.023929691893144107,-0.4454736910404334,-0.03611432671817715,-0.1781579853392228,-0.8938940007190703,-0.7236885534764754,16.133374236663716,3.6768508232006774,5,27
Burundi,BDI,2019,-1.1469773675979669,-0.09145487439041167,-0.781226615683522,-0.16305872309946667,-0.468691378688656,-0.20697837087515517,-1.9560284942161972,-0.7938142853435057,-1.2105808136489213,-0.023929691893144107,-0.9956681385585116,-0.6759219197233678,-1.1466844693016627,-1.007403590773476,0.1298794011268022,16.321472073546268,3.6945424940217064,6,18
Burundi,BDI,2020,-1.1510307296981621,-0.09145487439041167,-0.6699012949792977,-0.16305872309946667,-0.5393386981821919,-0.20482455842534006,-1.9763046303473149,-0.8949936264484043,-1.2105808136489213,-0.023929691893144107,-0.7205709147994724,-0.889191316443122,-1.1466844693016627,-1.009149714842445,0.1298794011268022,16.350558601456896,3.684603600043211,6,19
Burundi,BDI,2021,-1.1503196248104006,-0.09145487439041167,-0.6699012949792977,-0.16305872309946667,-0.5404199374394576,-0.20274967543093633,-1.9794620476813882,-0.8272368347584181,-1.2105808136489213,-0.023929691893144107,-0.9956681385585116,-0.889191316443122,-1.1466844693016627,-1.010896362801024,0.1298794011268022,16.377801153278895,3.68445071768841,6,20
Burundi,BDI,2022,-1.1509585712221193,-0.09145487439041167,-0.6699012949792977,-0.16305872309946667,-0.5448615896046123,-0.20063209133319387,-1.978185547226902,-0.8448832934283133,-1.2105808136489213,-0.023929691893144107,-0.9956681385585116,-0.889191316443122,-1.1466844693016627,-1.010896362801024,0.1298794011268022,16.404859652111583,3.683822442770107,6,21
Burundi,BDI,2023,-1.1502258885248773,-0.09145487439041167,-0.6699012949792977,-0.16305872309946667,-0.4799768634076428,-0.19843866231100216,-1.9770843891575915,-0.7427952607901295,-1.2105808136489213,-0.023929691893144107,-0.9956681385585116,-1.1024607131628763,-1.1466844693016627,-1.010896362801024,0.1298794011268022,16.43213609419609,3.6929614300257807,6,22
